City,Latitude,Longitude,Population
Dar es Salaam (Dar es Salaam ) ,-6.82349,39.26951,2339910
Mwanza (Mwanza ) ,-2.519692,32.901442,385810
Arusha (Arusha) ,-3.36667,36.68333,333791
Zanzibar (Zanzibar Urban/West ) ,-6.16394,39.19793,320701
Mbeya (Mbeya ) ,-8.9,33.45,232596
Morogoro (Morogoro ) ,-6.82102,37.66122,209058
Tanga (Tanga ) ,-5.06893,39.09875,172557
Dodoma (Dodoma ) ,-6.17221,35.73947,150604
Moshi (Kilimanjaro ) ,-3.35,37.33333,143799
Tabora (Tabora ) ,-5.01622,32.82663,126089
Musoma (Mara ) ,-1.5,33.8,104851
Iringa (Iringa ) ,-7.76667,35.7,102208
Songea (Ruvuma ) ,-10.68333,35.65,98683
